Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Vrednost,Način določitve vrednosti,Razlog za izročitev,gift_owner,date_str,recipient_org,recipient,donor,gift_type,delivery_type,Description,value_determination_method,occasion,Date,donor_geo,Countries_donors,Year,Month,Year_Month,Countries_donors_2
2022-05-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Al Thani,protokolarno,posredno,8000,nestrokovna ocena,sprejem veleposlanice indije pri državnem sekretarju dr. igorju senčarju,public sector entity (employer),2022-05-16,office president republic slovenia,official person,emir state qatar tamim bin hamad al thani,protocol,indirectly,goat shepherd's house hill gold,non-professional assessment,reception ambassador india secretary state dr. igor senčar,2022-05-16,['qatar'],['qatar'],2022,5,2022-05,['qatar']
2022-05-18,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ŠEJK TAMIM BIN HAMAD AL TANI, EMIR DRŽAVE KATAR",protokolarno,posredno,5000,spletna stran,otvoritev novega letališča v turčiji,organization official holds position,2022-05-18,ministry foreign affairs,official person,"sheikh tamim bin hamad al tani, emir state qatar",protocol,indirectly,"rolex watch, oyster",web page,opening new airport turkey,2022-05-18,['qatar'],['qatar'],2022,5,2022-05,['qatar']
2022-05-22,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ŠEJK TAMIM BIN HAMAD AL TANI, EMIR DRŽAVE KATAR",protokolarno,posredno,5000,OSEBNA NESTROKOVNA OCENA,OB DELOVNEM SESTANKU,organization official holds position,2022-05-22,ministry foreign affairs,official person,"sheikh tamim bin hamad al tani, emir state qatar",protocol,indirectly,"rolex watch, oyster",personal non-professional assessment,working meeting,2022-05-22,['qatar'],['qatar'],2022,5,2022-05,['qatar']
2022-05-23,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ŠEJK TAMIM BIN HAMAD AL TANI, EMIR DRŽAVE KATAR",protokolarno,posredno,5000,menjalniški tečaj nlb.,zasedanje ECOFIN/nastop mandata ministra.,organization official holds position,2022-05-23,ministry foreign affairs,official person,"sheikh tamim bin hamad al tani, emir state qatar",protocol,indirectly,"rolex watch, oyster",exchange rate nlb.,ecofin meeting/beginning minister's mandate.,2022-05-23,['qatar'],['qatar'],2022,5,2022-05,['qatar']
2015-09-18,OBČINA NAZARJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,GORAN HORVAT,protokolarno,neposredno,4000,osebna nestrokovna ocena,obisk ob 70-letnici Nove Gorice,local community,2015-09-18,municipality nazarje,state body/local community/holder public authority,goran hrovat,protocol,directly,picture - lampedusa black sun,personal non-professional assessment,visit 70th anniversary nova gorica,2015-09-18,[],[],2015,9,2015-09,[]
2015-02-21,OBČINA KOČEVJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,KLAVDIJ SLUBAN,priložnostno,neposredno,3000,cena navedena na vstopnici,novoletno darilo zveze prijateljev mladine slovenije,official,2015-02-21,kočevje municipality,state body/local community/holder public authority,klavdij sluban,occasional,directly,black white photo printed canvas oil,price indicated ticket,new year's gift association friends youth slovenia,2015-02-21,[],[],2015,2,2015-02,[]
2017-06-25,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,25. KEKLJARIC IZ 25. SLOVENSKIH KRAJEV (TATJANA ZUPAN),protokolarno,neposredno,3000,cena navedena na vstopnici,novoletno darilo zveze prijateljev mladine slovenije,official,2017-06-25,office president republic slovenia,functionary,25. kekljaric 25. slovenian places (tatjana zupan),protocol,directly,klekljan slovak flag 25 years slovenian independence,price indicated ticket,new year's gift association friends youth slovenia,2017-06-25,[],[],2017,6,2017-06,[]
2020-12-14,DVOJEZIČNA OSNOVNA ŠOLA GENTEROVCI Gonterhazi Ketnyelvu Altalanos Iskola,Tretja oseba,madžarska vlada-emberi erőforrások minisztériuma,priložnostno,neposredno,2935,osebna nestrokovna ocena,protokolarni obisk,organization official holds position,2020-12-14,bilingual primary school genterovci gonterhazi ketnyelvu altalanos iskola,third person,hungarian government-members minisztérium resources,occasional,directly,books,personal non-professional assessment,protocol visit,2020-12-14,[],[],2020,12,2020-12,[]
2018-11-17,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"gospod Ye Hao, veleposlanik ljudske republike kitajske v rs",priložnostno,neposredno,2500,osebna nestrokovna ocena,ob novem letu,official,2018-11-17,cabinet president government republic slovenia,functionary,"mr. ye hao, ambassador people's republic china rs",occasional,directly,2x huawei mate20 pro mobile phone 2x huawei watch gt smart watch,personal non-professional assessment,new year,2018-11-17,['china'],['china'],2018,11,2018-11,['china']
2022-01-05,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,DR. KOZMA AHAČIČ,protokolarno,neposredno,2050,osebna nestrokovna ocena,ob novem letu,official,2022-01-05,office president republic slovenia,official person,dr. kozma ahačič,protocol,directly,"book wooden stand title: stati inu obstati. limited, hand-bound numbered edition. unique book masterpiece.",personal non-professional assessment,new year,2022-01-05,[],[],2022,1,2022-01,[]
2018-06-10,OBČINA OPLOTNICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,JANŽIČ MAJDA,protokolarno,neposredno,2000,nestrokovna ocena,sestanek na mzz glede dosedanje ter možnosti prihodnjega sodelovanja rs v projektu rehabilitacije otrok iz gaze,country,2018-06-10,oplotnica municipality,state body/local community/holder public authority,janžič majda,protocol,directly,2 pieces wooden sculptures,non-professional assessment,meeting mzz regarding current possible future participation rs project rehabilitation children gaza,2018-06-10,['janžič'],['janžič'],2018,6,2018-06,['janžič']
2021-09-06,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"DR. NEDŽAD GRABUS, MUFTI V ODHAJANJU IZ REPUBLIKE SLOVENIJE",protokolarno,neposredno,2000,NESTROKOVNO,V OKVIRU REGIJSKEGA OBISKA VLADE NA KOROŠKEM,organization official holds position,2021-09-06,office president republic slovenia,official person,"dr. nedžad grabus, muft departure republic slovenia",protocol,directly,"artwork mersad berber - picture - combined technique oil canvas, graphics",unprofessional,within framework government's regional visit korostina,2021-09-06,[],[],2021,9,2021-09,[]
2022-05-25,GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE,Uradna oseba,KATARSKI ŠEJK,protokolarno,posredno,2000,osebna nestrokovna ocena,ob novem letu,official,2022-05-25,general secretariat government republic slovenia,official person,sheikh qatar,protocol,indirectly,ebel men's watch,personal non-professional assessment,new year,2022-05-25,['qatar'],['qatar'],2022,5,2022-05,['qatar']
2019-03-19,OKROŽNO SODIŠČE V KRŠKEM,državni organ/lokalna skupnost/nosilec javnih pooblastil,JOŽICA PAVLIN,priložnostno,neposredno,1900,osebna nestrokovna ocena,uradni obisk v republiki kosovo,country,2019-03-19,district court kršk,state body/local community/holder public authority,jožica pavlin,occasional,directly,15 pictures,personal non-professional assessment,official visit republic kosovo,2019-03-19,[],[],2019,3,2019-03,[]
2020-11-20,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",Uradna oseba,čzs,priložnostno,neposredno,1700,osebna nestrokovna ocena,sprejem,country,2020-11-20,"ministry agriculture, forestry food",official person,czs,occasional,directly,beehive,personal non-professional assessment,reception,2020-11-20,[],[],2020,11,2020-11,[]
2022-12-16,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"IVO VELIŠEK, BIVŠI DIREKTOR UPRAVE PRAŠKEGA GRADU (URAD PREDSEDNIKA ČEŠKE REPUBLIKE)",protokolarno,neposredno,1589,osebna nestrokovna ocena,uradni obisk v republiki kosovo,country,2022-12-16,ministry foreign affairs,official person,"ivo velišek, former director prague castle administration (office president czech republic)",protocol,directly,moser vase,personal non-professional assessment,official visit republic kosovo,2022-12-16,['czech republic'],['czech republic'],2022,12,2022-12,['czech republic']
2021-06-08,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,ŠVICARSKI PREDSEDNIK GUY PARMELIN,protokolarno,neposredno,1500,osebna nestrokovna ocena,obisk natovih sil v prištini,country,2021-06-08,office president republic slovenia,official person,swiss president guy parmelin,protocol,directly,reuge handmade singing box,personal non-professional assessment,visit nato forces pristina,2021-06-08,['parmelin'],['parmelin'],2021,6,2021-06,['parmelin']
2015-11-26,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,veleposlanik lr kitajske v rs g. ye Hao,priložnostno,posredno,1300,preverjena cena na trgu,uradni obisk v republiki kosovo,country,2015-11-26,cabinet president government republic slovenia,functionary,"ambassador people's republic china russian federation, mr. yes hao",occasional,indirectly,"cloth, necklace ipad air",verified market price,official visit republic kosovo,2015-11-26,[],[],2015,11,2015-11,[]
2016-12-15,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Al-Muzajen, pomočnik zunanjega ministra Države Kuvajt",protokolarno,neposredno,1300,osenba nestrokovna ocena,uradni obisk v republiki kosovo,country,2016-12-15,ministry foreign affairs,functionary,"al-muzajen, assistant foreign minister state kuwait",protocol,directly,8 gold coins,personality non-professional assessment,official visit republic kosovo,2016-12-15,['kuwait'],['kuwait'],2016,12,2016-12,['kuwait']
2015-03-26,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"KNJIGARNA MOHORJEVA HERMAGORAS, CELOVEC",priložnostno,posredno,1106,osebna nestrokovna ocena,uradni obisk v republiki avstriji,country,2015-03-26,bilingual primary school lendava i. sz. lendvai ketnyelvu altalanos school,state body/local community/holder public authority,"mohorjeva hermagoras bookstore, celovec",occasional,indirectly,"textbooks, workbooks",personal non-professional assessment,official visit republic austria,2015-03-26,[],[],2015,3,2015-03,[]
2017-09-20,DVOJEZIČNA OSNOVNA ŠOLA GENTEROVCI Gonterhazi Ketnyelvu Altalanos Iskola,državni organ/lokalna skupnost/nosilec javnih pooblastil,pomurska madžarska samoupravna narodna skupnost,priložnostno,neposredno,1032,na podlagi podatka darovalca,50. letnica gimnazije ljutomer,country,2017-09-20,bilingual primary school genterovci gonterhazi ketnyelvu altalanos iskola,state body/local community/holder public authority,pomeranian hungarian self-governing national community,occasional,directly,books,based donor's information,50th anniversary ljutomer high school,2017-09-20,[],[],2017,9,2017-09,[]
2014-03-03,MESTNA OBČINA VELENJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"občina vranje, srbija",protokolarno,neposredno,1000,/,uradni obisk francoskega predsednika v rs,country,2014-03-03,municipality velenje,state body/local community/holder public authority,"municipality vranje, serbia",protocol,directly,"painting, oil canvas, 50 cm x 37 cm, pine house stankoviča",,official visit french president rs,2014-03-03,['serbia'],['serbia'],2014,3,2014-03,['serbia']
2015-03-30,OBČINA ŽIROVNICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"elEKTRO GORENJSKA, D.D., uL. mIRKA VADNOVA 3a, 4000 kranj",priložnostno,neposredno,1000,osebna nestrokovna ocena,delovni obisk v kneževini monako,country,2015-03-30,municipality žirovnica,state body/local community/holder public authority,"elektro gorenjska, d.d., ul. mirka vadnova 3a, 4000 kranj",occasional,directly,electrical bike,personal non-professional assessment,working visit principality monaco,2015-03-30,['d.d.'],['d.d.'],2015,3,2015-03,['d.d.']
2021-09-16,MESTNA OBČINA NOVO MESTO,Uradna oseba,"Stevan Katić, predsednik Občine Herceg Novi, Trg Maršala Tita 2, 85340 Herceg Novi",protokolarno,neposredno,1000,osebna nestrokovna ocena,"udeležba na prireditvi ""ruska kapelica""",country,2021-09-16,city municipality novi meso,official person,"stevan katic, president municipality herceg novi, trg maršala tita 2, 85340 herceg novi",protocol,directly,"artwork vojislav vojo kilibarda, herceg novi, oil canvas, 2019, 60 x 45 cm",personal non-professional assessment,"participation ""russian chapel"" event",2021-09-16,[],[],2021,9,2021-09,[]
2022-03-22,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Al Thani,protokolarno,posredno,1000,nestrokovn ocena,uradni obisk predsednika evropskega parlamenta v rs,country,2022-03-22,office president republic slovenia,official person,emir state qatar tamim bin hamad al thani,protocol,indirectly,gilded sailboat gold elements wooden base,unprofessional assessment,official visit president european parliament rs,2022-03-22,['qatar'],['qatar'],2022,3,2022-03,['qatar']
2022-03-23,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,NJEGOVA VISOKOST EMIR DRŽAVE KATAR ŠEJK TAMIM BIN HAMADA AL-THANIA,protokolarno,neposredno,1000,osebna nestrokovna ocena,sprejem,country,2022-03-23,office president republic slovenia,official person,highness emir state qatar sheikh tamim bin hamad al-thania,protocol,directly,goldsmith qatar,personal non-professional assessment,reception,2022-03-23,['qatar'],['qatar'],2022,3,2022-03,['qatar']
2018-11-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"nj. eksc. gospod ye hao, veleposlanik ljudske republike kitajske v rs",priložnostno,neposredno,1000,STROKOVNA OCENA,MESTNA OBČINA NOVO MESTO JE PREDSTAVNIKA ORGANIZACIJE C.I.V.I.A. SAN MARINO GOSTILA NA 2. MEDNARODNI KONFERENCI MEST OB JANTARNI POTI,local community,2018-11-21,cabinet president government republic slovenia,functionary,"exc. mr. ye hao, ambassador people's republic china russia",occasional,directly,huawei mate 20pro mobile phone,expert assessment,city municipality novo meso representative organization c.i.v.i.a. san marino hosted 2nd international conference cities along amber route,2018-11-21,"['china', 'russia']","['china', 'russia']",2018,11,2018-11,"['china', 'russia']"
2021-06-09,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,Uradna oseba,"dr. guy parmelin, predsednik švicarske konfederacije",protokolarno,neposredno,950,CENA OBJAVLJENA NA SPLETU,URADNI OBISK V BEOGRADU,public sector entity (employer),2021-06-09,cabinet president government republic slovenia,official person,"dr. guy parmelin, president swiss confederation",protocol,directly,singing reuge casket,price published online,official visit belgrade,2021-06-09,[],[],2021,6,2021-06,[]
2014-08-13,OBČINA GORJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,ELEKTRO GORENJSKA D.D.,priložnostno,neposredno,900,osebna nestrokovna ocena,obisk delegacije,public sector entity (employer),2014-08-13,gorje municipality,state body/local community/holder public authority,elektro gorenjska d.d.,occasional,directly,electrical bike,personal non-professional assessment,delegation visit,2014-08-13,[],[],2014,8,2014-08,[]
2015-01-28,OBČINA BLED,državni organ/lokalna skupnost/nosilec javnih pooblastil,ELEKTRO GORENJSKA D.D.,priložnostno,neposredno,900,cena navedena na knjigi,obisk v novoletnem času,public sector entity (employer),2015-01-28,municipality bled,state body/local community/holder public authority,elektro gorenjska d.d.,occasional,directly,electrical bike,price indicated book,visit new year,2015-01-28,[],[],2015,1,2015-01,[]
2015-03-19,OBČINA TRŽIČ,funkcionar,ELEKTRO GORENJSKAD.D.,priložnostno,neposredno,900,OSEBNA NESTROKOVNA OCENA,DARILO OB PREDSTAVITVENEM SREČANJU,public sector entity (employer),2015-03-19,tržič municipality,functionary,elektro gorenjskad.d.,occasional,directly,empress electric bike,personal non-professional assessment,gift introductory meeting,2015-03-19,[],[],2015,3,2015-03,[]
2015-03-27,OBČINA BOHINJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,elektro gorenjska,priložnostno,neposredno,900,tržna vrednost,novoletni prazniki,recipient,2015-03-27,municipality bohinj,state body/local community/holder public authority,elektro gorenjska,occasional,directly,electrical bike,market value,new year holidays,2015-03-27,[],[],2015,3,2015-03,[]
2015-04-03,OBČINA TRŽIČ,funkcionar,ELEKTRO GORENJSKA D.D.,priložnostno,neposredno,900,OSEBNA NESTROKOVNA OCENA,SPREJEM V PREDSEDNIŠKI PALAČI,public sector entity (employer),2015-04-03,tržič municipality,functionary,elektro gorenjska d.d.,occasional,directly,empress electric bike,personal non-professional assessment,reception presidential palace,2015-04-03,[],[],2015,4,2015-04,[]
2015-10-22,UNIVERZA NA PRIMORSKEM UNIVERSITA DEL LITORALE,državni organ/lokalna skupnost/nosilec javnih pooblastil,UNIONE ITALIANA,protokolarno,neposredno,900,tržna vrednost,novoletni prazniki,recipient,2015-10-22,university primorsk universita del litorale,state body/local community/holder public authority,unione italiana,protocol,directly,"set books dante alighieri la divina commedia con ragionamenti e note di niccolo' tommaseo, c.r.s. rovigno 2006",market value,new year holidays,2015-10-22,[],[],2015,10,2015-10,[]
2015-03-26,OBČINA CERKLJE NA GORENJSKEM,državni organ/lokalna skupnost/nosilec javnih pooblastil,elektro gorenjska d.d.,priložnostno,neposredno,899,LASTNA PRESOJA,SPREJEM,public sector entity (employer),2015-03-26,municipality cerklje na gorenje,state body/local community/holder public authority,elektro gorenjska d.d.,occasional,directly,electrical bike,judgment,accept,2015-03-26,[],[],2015,3,2015-03,[]
2015-05-14,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik Turkmenistana gospod Gurbanguly Malikguyevich Berdimuhamedov,protokolarno,posredno,800,lastna presoja,sprejem,public sector entity (employer),2015-05-14,cabinet president government republic slovenia,functionary,president turkmenistan mr. gurbanguly malikguyevich berdimuhamedov,protocol,indirectly,handmade wool carpet (2.97 x 2.02 m) gold coin wooden box,judgment,reception,2015-05-14,[],[],2015,5,2015-05,[]
2017-11-24,OBČINA LENART,državni organ/lokalna skupnost/nosilec javnih pooblastil,MARTINA GOLIJA,priložnostno,neposredno,800,lastna presoja,sprejem,public sector entity (employer),2017-11-24,municipality lenart,state body/local community/holder public authority,martina golija,occasional,directly,picture,judgment,reception,2017-11-24,[],[],2017,11,2017-11,[]
2021-12-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,VELEPOSLANIK RUSIJE V RS Timur Rafailovič Ejvazov,priložnostno,posredno,800,OCENA GENERALNEGA DIREKTORJA,študijskI obisk s strani turških predstavnikov plačilne agencije,public sector entity (employer),2021-12-16,office president republic slovenia,official person,russian ambassador rs timur rafailovič ejvazov,occasional,indirectly,paint picture author painter marko smirnov,assessment general director,study visit turkish representatives paying agency,2021-12-16,[],[],2021,12,2021-12,[]
2022-03-22,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Al Thani,protokolarno,neposredno,800,osebna ocena,sestanek,recipient,2022-03-22,office president republic slovenia,official person,emir state qatar tamim bin hamad al thani,protocol,directly,al zubara fort - golden palace glass box,personal assessment,meeting,2022-03-22,['qatar'],['qatar'],2022,3,2022-03,['qatar']
2017-12-25,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,DRAGICA PETROVIČ,protokolarno,neposredno,750,OSEBNA NESTROKOVNA OCENA,"URADNI OBISK MZZ KATARJA V SLOVENIJI, 04.11.2021",public sector entity (employer),2017-12-25,office president republic slovenia,functionary,dragica petrović,protocol,directly,watch cuff links,personal non-professional assessment,"official visit mfa qatar slovenia, 04.11.2021",2017-12-25,[],[],2017,12,2017-12,[]
2022-02-10,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"Mohamed Al Džadan, minister za gospodarstvo in načrtovanje Kraljevine Saudove Arabije",protokolarno,neposredno,705,laično s pomočjo spleta,srečanje in podpis skupne izjave predsednikov vri-ravnanje v primeru nenadnega onesnaženja jadrana,public sector entity (employer),2022-02-10,ministry foreign affairs,official person,"mohamed al jadan, minister economy planning kingdom saudi arabia",protocol,directly,"book ""abdulaziz"" (photobiography king abudlaziz bin abdul rahman bin faisal al saud)",layman's terms help web,meeting signing joint statement presidents case sudden pollution adriatic sea,2022-02-10,['kingdom saudi arabia'],['kingdom saudi arabia'],2022,2,2022-02,['kingdom saudi arabia']
2015-03-27,OBČINA IVANČNA GORICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,ksenija hauptman,protokolarno,neposredno,700,lastna presoja,sprejem,public sector entity (employer),2015-03-27,municipality ivančna gorica,state body/local community/holder public authority,ksenia hauptman,protocol,directly,art picture,judgment,reception,2015-03-27,['ksenia'],['ksenia'],2015,3,2015-03,['ksenia']
2016-10-29,VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednica vrhovnega sodišča črne gore,protokolarno,neposredno,700,"ceno je določila strokovnjakinja za ocenjevanje vrednosti umetniških del, kustosinja umetnostna zgodovinarka dolenjskega muzeja novo mesto.",50. obletnica partnerstva mestne občine novo mesto in občine herceg novi,public sector entity (employer),2016-10-29,supreme court republic slovenia,functionary,president supreme court montenegro,protocol,directly,mountain wreath - leather,"price set expert evaluation value works art, curator art historian dolenj museum novo mesto.",50th anniversary partnership municipality novi mesto municipality herceg novi,2016-10-29,[],[],2016,10,2016-10,[]
2019-04-11,MESTNA OBČINA LJUBLJANA,funkcionar,oskar kogoj,protokolarno,neposredno,700,OSEBNA NESTROKOVNA OCENA,DELOVNI OBISK V NEW YORKU,public sector entity (employer),2019-04-11,municipality ljubljana,functionary,oskar kogoj,protocol,directly,lipizzaner - slovenian royal horse (gilded sculpture),personal non-professional assessment,working visit new york,2019-04-11,[],[],2019,4,2019-04,[]
2022-02-10,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"PRINC FAISAL BIN FARHAN BIN ABDULLAH AL SAUD, MINISTER ZA ZUNANJE ZADEVE KRALJEVINE SAUDOVEARABIJE",protokolarno,neposredno,700,OSEBNA NESTROKOVNA OCENA,DELOVNI OBISK V NEW YORKU,recipient,2022-02-10,ministry foreign affairs,official person,"prince faisal bin farhan bin abdullah al saud, minister foreign affairs kingdom saudi arabia",protocol,directly,replica ancient gold face mask found king's tomb thai,personal non-professional assessment,working visit new york,2022-02-10,['saudi arabia'],['saudi arabia'],2022,2,2022-02,['saudi arabia']
