Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Opis,Vrednost,Način določitve vrednosti,Razlog za izročitev,Lastnik darila
2022-10-01,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"Reda Habib Ibrahim Zaki, veleposlanik Egipta",priložnostno,posredno,kočijaž in kočija iz stekla,90,preverjanje cene na trgu,priložnostno,Prejemnika
2022-10-07,URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU,Uradna oseba,"Robert Dipiazza, župan občine Trst, Piazza unita d´italia 4, Trst, Italija",protokolarno,neposredno,Plaketa grba mesta Trst,90,s poizvedovanjem na uradni spletni strani proizvajalca,dvostransko srečanje ob robu 4.usmerjevalnega odbora slovenija-turčija za kmetijstvo in gozdarstvo,Subjekta javnega sektorja (delodajalca)
2022-10-15,OBČINA KOSTANJEVICA NA KRKI,Uradna oseba,"Zlatko Aga, načelnik općine",protokolarno,neposredno,umetniška slika - žanjice 80x60 cm,90,NA PODLAGI PODATKA DAROVALCA,IZROČITEV MEDNARODNE NAGRADE ACIDE DE GASPERI ZA DOSEŽKE NA PODROČJU IZGRADNJE EVROPE,Subjekta javnega sektorja (delodajalca)
2022-11-18,MINISTRSTVO ZA INFRASTRUKTURO,Uradna oseba,"MINISTER ZA ENERGIJO IN RUDNIKE LJUDSKE DEMOKRATIČNE REPUBLIKE ALŽIRIJE, G. MOHAMED ARKAB",protokolarno,neposredno,KERAMIČNI KROŽNIK PRIZNANEGA ALŽIRSKEGA UMETNIKA,90,laična ocena - s primerjavo cen dresov (ŠT. 77) V spletnih prodajalnAH,NA PODLAGI PREJETEGA VABILA S STRANI kzs JE MINISTER PREDSTAVNIKE SPREJEL IN OB TEJ PRILOŽNOSTI Z NJIHOVE STRANI PREJEL OMENJENO DARILO.,Subjekta javnega sektorja (delodajalca)
2022-12-02,DRUŽBA ZA AVTOCESTE V REPUBLIKI SLOVENIJI D.D.,Uradna oseba,/,priložnostno,posredno,"lego kocke, knjiga",90,CENA OBJAVLJENA NA SPLETU,URADNI OBISK DELEGACIJE ODBORA ZA ZUNANJE ODNOSE PARLAMENTA GRUZIJE V REPUBLIKI SLOVENIJI,Subjekta javnega sektorja (delodajalca)
2022-12-05,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"NIKOLOZ SAMKHARADZE, PREDSEDNIK ODBORA ZA ZUNANJE ODNOSE PARLAMENTA GRUZIJE",priložnostno,neposredno,"SERIJA GEORGIAN ARTFACT KERAMIČNA RAZLIČICA PODJETJA WHITE STUDIO, SPECIALIZIRANEGA ZA USTVARJANJE EDINSTVENIH ROČNO IZDELANIH DARIL IN IZVIRNIH UMETNIŠKIH DEL",90,tržna vrednost,novoletni prazniki,Prejemnika
2016-12-19,MINISTRSTVO ZA FINANCE,funkcionar,ZRC SAZu dr. oto Lutar,priložnostno,neposredno,sinonimni slovar slovenskega jezika,89,OSEBNA NESTROKOVNA OCENA,OBISK PREDSEDNIKA DRŽAVNEGA SVETA NA ČEŠKEM (PRAŠKI GRAD),Subjekta javnega sektorja (delodajalca)
2019-05-23,MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,državni organ/lokalna skupnost/nosilec javnih pooblastil,"Sauli Niinistö, FINSKI PREDSEDNIK",protokolarno,neposredno,OKRASNI KROŽNIK,89,osebna nestrokovna ocena,obisk predsednika državnega sveta v češki republiki,Subjekta javnega sektorja (delodajalca)
2021-03-01,MINISTRSTVO ZA INFRASTRUKTURO,Uradna oseba,prometni minister republike poljske,protokolarno,neposredno,Manšetni gumbi - jantar,87,OSEBNA NESTROKOVNA OCENA,OBISK DELEGACIJE MESTNE OBČINE NOVO MESTO NA VELEPOSLANIŠTVU RS V PRAGI OB SODELOVANJU OBČINE NOVO MESTO NA VINOBRANIH NA PRAŠKEM GRADU,Subjekta javnega sektorja (delodajalca)
2014-03-03,MESTNA OBČINA VELENJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"občina prievidza, slovaška",protokolarno,neposredno,"6 kozarcev za vino, bokal, 2 steklenici vina",85,VREDNOST IZDELKA PREVERJENA NA SPLETNI STRANI IZDELOVALCA,GRADNJA 2.TIRA PREBOJ MLINARJI,Subjekta javnega sektorja (delodajalca)
2015-06-02,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,državni tajnik vatikana kardinal pietro parolin,protokolarno,neposredno,"knjiga ""the pauline chapel"" ter knjiga ""evangelii gaudium""",85,osebna nestrokovna ocena,udeležba pr rs na sinjski alki v sinju v hrvaški republiki,Subjekta javnega sektorja (delodajalca)
2016-12-15,OBČINA HRPELJE - KOZINA,funkcionar,marmor sežana,priložnostno,neposredno,marmorna skleda,85,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V TURČIJI,Subjekta javnega sektorja (delodajalca)
2019-06-12,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,"andrej ambrož, lAHOVČE 37, CERKLJE NA GORENJSKEM",priložnostno,neposredno,5 X PLADENJ NAREZKA IN 5 X ŠTRUCA KRUHA,85,PREVERBA PRI UMETNOSTNEM KOVAČU,UDELEŽBA MINISTRA NA SLAVNOSTNI OBČINSKI SEJI,Subjekta javnega sektorja (delodajalca)
2020-07-10,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,nj. eksc. predsednik vlade republike hrvaške gospod andrej plenković,protokolarno,posredno,"knjiga 'croatia from above', knjiga 'croatia: the land and its people', komplet treh knjižic 'european union/Republic of croatia: Beyond borders, red, white and blue passports', kravata",85,osebna nestrokovna ocena,"nagrada predsedniku Borutu Pahorju za življenjsko delo za izjemne dosežke na področju arhitekture, gradbeništva in varstva arhitekturne dediščine",Subjekta javnega sektorja (delodajalca)
2021-09-08,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Uradna oseba,PREDSEDNIK PARLAMENTA BELGIJE,protokolarno,neposredno,ročna moška ura,85,osebna nestrokovna ocena,uradni obisk v republiki sloveniji,Subjekta javnega sektorja (delodajalca)
2021-10-15,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"Akmal BURKHANOV, direktor Agencije za preprečevanje korupcije Uzbekistana",priložnostno,neposredno,Lesena uokvirnjena slika z uzbekistanskimi nacionalnimi motivi,85,osebna nestrokovna ocena,uradni obisk v republiki sloveniji,Subjekta javnega sektorja (delodajalca)
2021-12-16,OBČINA ŽALEC,Uradna oseba,/,priložnostno,neposredno,Whiskey Jameson + 4 kozarci,85,OSEBNA NESTROKOVNA OCENA,SPREJEM VELEPOSLANICE,Subjekta javnega sektorja (delodajalca)
2018-10-12,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Mag. Zmago Jelinčič Plemeniti, poslanec DZ RS",priložnostno,neposredno,"Knjiga z naslovom ""Ali je Hrvaška država legalna"" in knjiga z naslovom ""Final Award ali final reward za Hrvate""",85,VREDNOST IZDELKA PREVERJENA NA SPLETNI STRANI IZDELOVALCA,GRADNJA 2.TIRA PREBOJ PREDORA MLINARJI,Subjekta javnega sektorja (delodajalca)
2021-07-28,Ministrstvo za gospodarski razvoj in tehnologijo,Uradna oseba,Aylin Taşhan,protokolarno,neposredno,knjiga: the blue romance of turkey,84,VREDNOST IZDELKA PREVERJENA NA SPLETNI STRANI UMETNICE,VLJUDNOSTNO SREČANJE,Subjekta javnega sektorja (delodajalca)
2015-03-26,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,MINISTRSTVO ZA JAVNO UPRAVO IN PRAVOSODJE MADŽARSKE,priložnostno,posredno,KNJIGE,84,po občutku,sestanek na veleposlaništvu rs v teheranu glede možnosti poslovanja v republiki sloveniji,Subjekta javnega sektorja (delodajalca)
2020-09-29,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Meritxell BATET, predsednica spodnjega doma Parlamenta Španije",protokolarno,neposredno,"porcelanast krožnik z motivom Parlamenta in knjiga ""Necessidades Palace""",84,osebna nestrokovna ocena,uradni obisk v republiki sloveniji,Subjekta javnega sektorja (delodajalca)
2015-04-21,DVOJEZIČNA OSNOVNA ŠOLA II LENDAVA II. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,MADŽARSKA NARODNA KNJIŽNICA,priložnostno,posredno,ZBIRKA KNJIG,83,osebna nestrokovna ocena,obisk predsednika v češki republiki,Subjekta javnega sektorja (delodajalca)
2021-12-13,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",Uradna oseba,"annick girardin, ministrica za morje francoske republike",protokolarno,neposredno,knjiga zbirka navtičnih del jacquesa devaulxa,83,NA PODLAGI PODATKA DAROVALCA,DARILO POSLANO PO POŠTI,Subjekta javnega sektorja (delodajalca)
2022-09-28,OBČINA DOBROVA-POLHOV GRADEC,Uradna oseba,OBČINA DOBROVA-POLHOV GRADERC,priložnostno,neposredno,DARILNA KOŠARA,82,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V REPUBLIKI SLOVENIJI,Subjekta javnega sektorja (delodajalca)
2022-09-28,OBČINA DOBROVA-POLHOV GRADEC,Uradna oseba,OBČINA DOBROVA-POLHOV GRADEC,priložnostno,neposredno,DARILNA KOŠARa,82,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V REPUBLIKI SLOVNENIJI,Subjekta javnega sektorja (delodajalca)
2022-01-14,BANKA SLOVENIJE,Uradna oseba,Centralna banka madžarske,protokolarno,neposredno,Srebrnik - Sights of Budapest,82,OSEBNA NESTROKOVNA OCENA,SPREJEM OB DNEVU DRŽAVNOSTI REPUBLIKE SLOVENIJE,Subjekta javnega sektorja (delodajalca)
2022-01-14,BANKA SLOVENIJE,Uradna oseba,CENTRALNA BANKA MADŽARSKE,protokolarno,neposredno,SREBRNIK - SIGHTS OF BUDAPEST,82,OSEBNA NESTROKOVNA OCENA,SPREJEM PREDSEDNICE,Subjekta javnega sektorja (delodajalca)
2019-09-17,MINISTRSTVO ZA INFRASTRUKTURO,funkcionar,"YANG CHUANTANG,KLPPK",protokolarno,posredno,SVILENA VEZENINA,81,osebna nestrokovna ocena,SPREJEM PODPREDSEDNICE VRHOVNE RADE,Subjekta javnega sektorja (delodajalca)
2014-01-08,OBČINA KOČEVJE,funkcionar,"JEAN LUC DEROO, ŽUPAN POBRATENE OBČINE HALLUIN",protokolarno,neposredno,"SLIKA MEDVEDA, OLJE (30X40), AVTOR: CHIBOUT",80,osebna nestrokovna ocena,SPREJEM,Subjekta javnega sektorja (delodajalca)
2014-01-30,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"zsolt nemeth, ds na mzz r madžarske",protokolarno,neposredno,ročno okrašen porcelanasti krožnik,80,osebna nestrokovna ocena,uradni obisk delegacije črne gore v sloveniji,Subjekta javnega sektorja (delodajalca)
2014-01-30,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"song tao, namestnik mzz lr kitajske",protokolarno,neposredno,slika-grafika,80,OSEBNA NESTROKOVNA OCENA,"MINISTRSKO SREČANJE OVSE V STOCKHOLMU, 01.-03.12.2021",Subjekta javnega sektorja (delodajalca)
2014-02-17,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"G. JANOS ADER, PREDSEDNIK MADŽARSKE",priložnostno,posredno,SREBRNIK,80,ocenjena vrednost,udeležba ministra na regionalni konferenci v skopju,Subjekta javnega sektorja (delodajalca)
2014-02-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"ga. debora serracchiani, predsednica avtonomne dežele furlanije julijske krajine",protokolarno,posredno,mozaik simbola avtonomne dežele furlanije julijske krajine,80,preveritev tržne cene,novoletno darilo,Subjekta javnega sektorja (delodajalca)
2014-02-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,PODPREDSEDNIK ISTANBULSKE GOSPODARSKE ZBORNICE DURSUN TOPCU,protokolarno,neposredno,SLIKA,80,preveritev tržne cene,novoletno darilo,Subjekta javnega sektorja (delodajalca)
2014-02-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"MAG. FRANC PANGERL,PREDSEDNIK UO DRUŽBE CELJSKI SEJEM",protokolarno,neposredno,GRAFIKA,80,preveritev tržne cene,novoletno darilo,Prejemnika
2014-02-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK VLADE REPUBLIKE SRBIJE IVICA DAČIĆ,protokolarno,neposredno,SPOMINSKI MEDALJON IN ROKAVICE S ŠALOM,80,nestrokovna ocena,obisk vlade v gorenjski regiji,Subjekta javnega sektorja (delodajalca)
2014-02-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,JANEZ MEGLIČ PREDSEDNIK MEDOBČINSKEGA DRUŠTVA INVALIDOV ŽALEC,protokolarno,neposredno,ČIPKA V OKVIRJU IN MAKETA KOZOLCA,80,"laično, na podlagi pregleda spletnih ponudb in objavljenih cen",ZAKLJUČEK SLOVENSKEGA PREDSEDOVANJA SVETU EU ZA KMETIJSTVO IN RIBIŠTVO IN PREVZEM PREDSEDOVANJA S FRANCOSKE STRANI,Subjekta javnega sektorja (delodajalca)
2014-02-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK FRANCOSKE REPUBLIKE FRANCOIS HOLLANDE,protokolarno,posredno,STEKLENI OBELISK,80,"laično , ob pregledu spletnih strani",zaključek slovenskega predsedovanja svetu eu za kmetijstvo in ribištvo in prevzem predsedovanja s francoske strani,Subjekta javnega sektorja (delodajalca)
2014-02-25,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,njegova svetost papež frančišek,protokolarno,posredno,spominski papeški kovanec (bron),80,osebna nestrokovna ocena,novoletno darilo,Subjekta javnega sektorja (delodajalca)
2014-02-28,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK EVROPSKEGA SVETA GOSPOD HERMAN VAN rOMPUY,protokolarno,posredno,ČRNA USNJENA MAPA IN RDEČA USNJENA TOALETNA TORBICA,80,izjava darovalca,"zahvala vsem policistom, ki so sodelovali pri iskanju pogrešanega otroka",Subjekta javnega sektorja (delodajalca)
2014-03-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"werner fayman, zvezni kancler",protokolarno,neposredno,stekleni konjiček swarovski,80,podatki darovalca,novoletno,Subjekta javnega sektorja (delodajalca)
2014-03-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,svetišče meiji na japonskem,protokolarno,neposredno,vaza,80,OSEBNA NESTROKOVNA OCENA,POSLANO PO POŠTI Z NOVOLETNO ČESTITKO,Subjekta javnega sektorja (delodajalca)
2014-03-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"nikola gruevski, predsednik vlade makedonije",protokolarno,neposredno,"kamnita skulptura moškega, ženske in otroka",80,OSEBNA NESTROKOVNA OCENA,Poslovilni obisk ob zaključku mandata veleposlanika v Republiki Sloveniji,Subjekta javnega sektorja (delodajalca)
2014-03-25,MINISTRSTVO ZA INFRASTRUKTURO IN PROSTOR,funkcionar,"ministrstvo za eneregijo, ga. zorana mihajlovič, ministrica",protokolarno,neposredno,kopija vrča iz bronaste dobe,80,preveritev tržne cene,novoletno darilo,Subjekta javnega sektorja (delodajalca)
2014-03-25,MINISTRSTVO ZA INFRASTRUKTURO IN PROSTOR,funkcionar,minister za promet z delegacijo - singapur,protokolarno,neposredno,knjiga,80,preveritev tržne cene,novoletno darilo,Prejemnika
2014-09-23,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik uprave podjetja kolpa d.d.mirjan kulovec,priložnostno,neposredno,"krožnik, deska za rezanje, malivno pero in zaščitna piramida",80,preveritev tržne cene,novoletno darilo,Prejemnika
2015-01-21,Ministrstvo za gospodarski razvoj in tehnologijo,funkcionar,republika Turkmenistan (ruska federacija),protokolarno,neposredno,tapiserija v usnju s stojalom in knjiga,80,vrednost darila enaka vrednosti na spletu,delovni obisk ministra,Subjekta javnega sektorja (delodajalca)
2015-02-12,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"g. sergey n. gorkov, namestnik predsednika uprave ruske banke sberbank",protokolarno,posredno,poslikan električni grelnik za pijačo,80,tržna cena,božično-novoletno darilo,Prejemnika
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"ivica daćić, zunanji minister srbije",protokolarno,neposredno,"glinast kipec ""vinča""",80,tržna cena,božično-novoletno darilo,Prejemnika
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"gamini lakshman peiris, minister za zunanje zadeve demokratične socialistične republike sri lanka",protokolarno,neposredno,set za čaj,80,po podatku darovalca,sprejem avtorja kozma ahačiča pri pr rs,Subjekta javnega sektorja (delodajalca)
2015-03-10,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,MINISTER ZA ZUNANJE ZADEVE REPUBLIKE ARMENIJE,protokolarno,neposredno,SREBRNI KOVANCI CENTRALNE BANKE ARMENIJE,80,na podlagi podatka darovalca,sprejem avtorja knjige pri predsedniku republike,Subjekta javnega sektorja (delodajalca)
2015-03-12,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,vri ruske federacije,priložnostno,neposredno,ročna ura na verižici z vgrajenim znakom vri,80,osebna nestrokovna ocena po primerjavi ponudb na spletnih straneh,OBISK SLOVESNOSTI OB 300. OBLETNICI PRAVOSODJA V RUSIJI,Subjekta javnega sektorja (delodajalca)
2015-03-26,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,člani predsedstva bosne in hercegovine,protokolarno,posredno,zbirka srebrnikov v okvirju,80,osebna nestrokovna ocena,Obisk slovesnosti ob 300. obletnici pravosodja v Rusiji,Subjekta javnega sektorja (delodajalca)
2015-03-27,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,"GENERALNI SEKRETAR us r aLBANIJE, kUJTIM OSMANI",protokolarno,neposredno,MONOGRAFIJA ALBANSKA UMETNOST,80,spletna stran centralne banke,službeno srečanje,Subjekta javnega sektorja (delodajalca)
2015-03-31,MINISTRSTVO ZA NOTRANJE ZADEVE POLICIJA,državni organ/lokalna skupnost/nosilec javnih pooblastil,strelsko društvo praktičnega streljanja slovenska bistrica,priložnostno,neposredno,uporaba strelišča,80,SPLETNA STRAN CENTRALNE BANKE,SLUŽBENO SREČANJE,Subjekta javnega sektorja (delodajalca)
2015-04-13,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,PODPREDSEDNIK VLADE IN MINISTER ZA ZUNANJE ZADEVE REPUBLIKE KOSOVO HASHIM THACI,protokolarno,posredno,OKRASNI KROŽNIK,80,OSEBNA NESTROKOVNA OCENA,PRILOŽNOSTNO DARILO OB NOVEM LETU,Subjekta javnega sektorja (delodajalca)
2015-05-19,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,"dr. Gerhard Holzinger, predsednik us republike avstrije",protokolarno,neposredno,ročno poslikana šatulja iz porcelana augarten wien,80,OSEBNA OCENA PO CENAH PRIMERLJIVIH IZDELKOV V SPLETNI PRODAJI,DARILO OB NOVEM LETU IN POLAGANJU VENCA PRI PLEČNIKOVEM SPOMENIKU,Subjekta javnega sektorja (delodajalca)
2015-06-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"DR. KLAUS DRAEGER, UPRAVA BMW BENZ",protokolarno,neposredno,MEDALJON IZ BRONA TER MAKETA UPRAVNE STAVBE BMW V MUNCHNU,80,OSEBNA NESTROKOVNA OCENA,PREDSTAVITVENO SREČANJE,Subjekta javnega sektorja (delodajalca)
2015-12-04,VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednik vrhovnega sodišča srbije,protokolarno,neposredno,izpisek iz Dušanovega zakonika -v okvirju,80,PREVERJENA CENA NA SPLETU,PRILOŽNOSTNO SREČANJE OB OBISKU VELEPOSLANIKA V SLOVENIJI,Subjekta javnega sektorja (delodajalca)
2016-01-05,MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,funkcionar,Veleposlanik Indije,protokolarno,neposredno,knjiga z naslovom Indija,80,OSEBNA NESTROKOVNA OCENA,SPREJEM DELEGACIJE OBČINE ŽALEC NA VELEPOSLANIŠTVU RS V PRAGI - OBISK DELEGACIJE OBČINE ŽALEC V ČEŠKI OBČINI ŽATEC,Subjekta javnega sektorja (delodajalca)
2016-01-13,"Družba za upravljanje terjatev bank, d.d.",državni organ/lokalna skupnost/nosilec javnih pooblastil,"STOJA TRADE, D.O.O.",priložnostno,neposredno,2X TORTA,80,OSEBNA OCENA NA PODLAGI CEN PRIMERLJIVIH IZDELKOV,ZASEBNA VEČERJA OB OBISKU DELEGACIJE OBČINE ŽALEC V ČEŠKI OBČINI ŽATEC,Prejemnika
2016-01-29,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,podpredsednik vlade in minister za zunanje zadeve slovaške republike miroslav lajčak,protokolarno,posredno,okrasna posoda iz ročno brušenega kristala,80,nestrokovna ocena,delovno srečanje,Subjekta javnega sektorja (delodajalca)
2016-02-08,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,ŽUPAN OBČINE ŽIVORNICA LEOPOLD POGAČAR,protokolarno,neposredno,slika franceta prešerna v okvirju,80,osebna nestrokovna ocena,uradni obisk v Vatikanu,Subjekta javnega sektorja (delodajalca)
2016-06-09,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,POŠTA SLOVENIJE,protokolarno,neposredno,"PRILOŽNOSTNE ZNAMKE V ALBUMU, KI SO BILE IZDELANE NA POBUDO UPRS OB 25.OBLETNICI OSAMOSVOJITVE SLOVENIJE",80,osebna nestrokovna ocena,uradni obisk v vatikanu,Subjekta javnega sektorja (delodajalca)
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,"STANISLAV RYMAR, SODNIK US POLJSKE",protokolarno,neposredno,FOTOMONOGRAFIJA POLJSKE Z USB KLJUČKOM,80,OSEBNA NESTROKOVNA OCENA,DARILO OB ZAKLJUČKU VEČ KOT 18-LETNEGA DELOVANJA KOT ČASTNI KONZUL,Subjekta javnega sektorja (delodajalca)
2016-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,"bashkim dedja, predsednik us albanije",protokolarno,neposredno,lesores gjirokaster,80,osebna nestrokovna ocena,"obisk mzz logarja v saudovi arabiji, 10.02.2022",Subjekta javnega sektorja (delodajalca)
2016-07-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik gruzije gospod Giorgi Margvelashvili,protokolarno,posredno,knjiga this is georgia in uokvirjena poslikana plošča,80,OSEBNA NESTROKOVNA OCENA,"OBISK MZZ LOGARJA V SAUDOVI ARABIJI, 10.02.2022",Subjekta javnega sektorja (delodajalca)
2016-07-19,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,ministrstvo za obrambo,protokolarno,neposredno,plaketa in srebrnik,80,preverjena cena na spletu,"obisk mzz Logarja v Saudovi arabiji, 10.02.2022",Subjekta javnega sektorja (delodajalca)
2016-10-01,OBČINA GORNJA RADGONA,funkcionar,mestna občina mladenovac,protokolarno,neposredno,UMETNIŠKA SLIKA (V OKVIRJU)OLJE NA PLATNO,80,OSEBNA NESTROKOVNA OCENA,"BILATERALNO SREČANJE OB ROBU MINISTRSKEGA SREČANJA DRŽAV OECD IN ASEAN V SEULU, 10.02.2022",Subjekta javnega sektorja (delodajalca)
2016-10-04,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,združenje pedagogov tehnične ustvarjalnosti slovenije,priložnostno,posredno,"posebno priznanje ""from idea to the product"" ob 15-letnici zptu slovenije in kipec v obliki konjske glave",80,osebna nestrokovna ocena,uradni obisk portugalske republike,Subjekta javnega sektorja (delodajalca)
2016-10-04,MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE,funkcionar,"zoran jolevski, minister za obrambo republike makedonije",protokolarno,neposredno,ohridski biseri filevi,80,osebna nestrokovna ocena,uradni obisk portugalske republike,Subjekta javnega sektorja (delodajalca)
2016-10-04,MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE,funkcionar,"zoran jolevski, minister za obrambo republike makedonije",protokolarno,neposredno,"slika skopja, art baneli",80,osebna nestrokovna ocena,uradni obisk v portugalski republiki,Subjekta javnega sektorja (delodajalca)
2016-10-22,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"EMILIO MONZO, PREDSEDNIK POSLANSKE ZBORNICE ARGENTINSKE REPUBLIKE",protokolarno,neposredno,MINIATURNA HARMONIKA,80,osebna nestrokovna ocena,uradni obisk v portugalski republiki,Subjekta javnega sektorja (delodajalca)
2016-11-05,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",funkcionar,KITAJSKI MINISTER ZA KMETIJSTVO,protokolarno,neposredno,"zloženka, delno narejena iz svile, z osmimi znamkami in spremneimi dopisi, v katerih je opisana svilena pot",80,osebna nestrokovna ocena,"predaja častnega doktorata Univerze v Lizboni – Doctor Honoris Causa, ki ga ob uradnem obisku v Portugalski republiki, dobi predsednik Republike Slovenije Borut Pahor",Prejemnika
2016-12-03,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,JORDANSKI PREDSEDNIK SENATA,protokolarno,neposredno,LONČENA VAZA,80,osebna nestrokovna ocena,predaja poverilnega pisma,Subjekta javnega sektorja (delodajalca)
2016-12-15,"Javna agencija Republike Slovenije za spodbujanje podjetništva, internacionalizacije, tujih investicij in tehnologije",državni organ/lokalna skupnost/nosilec javnih pooblastil,ministry of foreign affairs of the state of kuwait,priložnostno,neposredno,srebrni kovanec,80,laična ocena osebe,ugodnost za nove naročnike portala vdu.si - verlag dashöfer,Subjekta javnega sektorja (delodajalca)
2017-04-26,MINISTRSTVO ZA FINANCE,funkcionar,Miran jus,priložnostno,neposredno,Knjiga Kreditno zavarovanje,80,LAIČNA OCENA,DELOVNO/PROTOKOLARNO SREČANJE V KABINETU ŽUPANA,Subjekta javnega sektorja (delodajalca)
2017-06-08,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,MIROSLAV ŠEPAROVIĆ,protokolarno,neposredno,REPLIKA KIPA DEKLIČINE GLAVE IZ RIMSKEGA OBDOBJA,80,osebna nestrokovna ocena,uradni obisk v S Makedoniji,Subjekta javnega sektorja (delodajalca)
2017-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsedika dr. Jean spreutels in dr. etienne de groot,protokolarno,neposredno,fotomonografija rene magritte,80,osebna nestrokovna ocena,uradni obisk v Albaniji,Subjekta javnega sektorja (delodajalca)
2017-06-23,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednika dr. jean spreutels in dr. etienne de groot,protokolarno,neposredno,fotomonografija rene magritte,80,osebna nestrokovna ocena,uradni obisl v Albaniji,Subjekta javnega sektorja (delodajalca)
