Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Vrednost,Način določitve vrednosti,Razlog za izročitev,Lastnik darila,Datum_EN,Naziv_EN,Prejemnik_EN,Darovalec_EN,Tip darila_EN,Način izročitve_EN
2022-05-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Al Thani,protokolarno,posredno,8000,nestrokovna ocena,sprejem veleposlanice indije pri državnem sekretarju dr. igorju senčarju,Subjekta javnega sektorja (delodajalca),2022-05-16,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,Emir of the State of Qatar Tamim Bin Hamad Al Thani,protocol,Indirectly
2022-05-18,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ŠEJK TAMIM BIN HAMAD AL TANI, EMIR DRŽAVE KATAR",protokolarno,posredno,5000,spletna stran,otvoritev novega letališča v turčiji,"organizacija, v kateri funkcionar opravlja funkcijo",2022-05-18,MINISTRY OF FOREIGN AFFAIRS,Official person,"SHEIKH TAMIM BIN HAMAD AL TANI, THE EMIR OF THE STATE OF QATAR",protocol,Indirectly
2022-05-22,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ŠEJK TAMIM BIN HAMAD AL TANI, EMIR DRŽAVE KATAR",protokolarno,posredno,5000,OSEBNA NESTROKOVNA OCENA,OB DELOVNEM SESTANKU,"organizacija, v kateri funkcionar opravlja funkcijo",2022-05-22,MINISTRY OF FOREIGN AFFAIRS,Official person,"SHEIKH TAMIM BIN HAMAD AL TANI, THE EMIR OF THE STATE OF QATAR",protocol,Indirectly
2022-05-23,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ŠEJK TAMIM BIN HAMAD AL TANI, EMIR DRŽAVE KATAR",protokolarno,posredno,5000,menjalniški tečaj nlb.,zasedanje ECOFIN/nastop mandata ministra.,"organizacija, v kateri funkcionar opravlja funkcijo",2022-05-23,MINISTRY OF FOREIGN AFFAIRS,Official person,"SHEIKH TAMIM BIN HAMAD AL TANI, THE EMIR OF THE STATE OF QATAR",protocol,Indirectly
2015-09-18,OBČINA NAZARJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,GORAN HORVAT,protokolarno,neposredno,4000,osebna nestrokovna ocena,obisk ob 70-letnici Nove Gorice,lokalna skupnost,2015-09-18,MUNICIPALITY OF NAZARJE,state body/local community/holder of public authority,GORAN HROVAT,protocol,directly
2015-02-21,OBČINA KOČEVJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,KLAVDIJ SLUBAN,priložnostno,neposredno,3000,cena navedena na vstopnici,novoletno darilo zveze prijateljev mladine slovenije,funkcionar,2015-02-21,KOČEVJE MUNICIPALITY,state body/local community/holder of public authority,KLAVDIJ SLUBAN,casually,directly
2017-06-25,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,25. KEKLJARIC IZ 25. SLOVENSKIH KRAJEV (TATJANA ZUPAN),protokolarno,neposredno,3000,cena navedena na vstopnici,novoletno darilo zveze prijateljev mladine slovenije,funkcionar,2017-06-25,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,functionary,25. KEKLJARIC FROM 25. SLOVENIAN PLACES (TATJANA ZUPAN),protocol,directly
2020-12-14,DVOJEZIČNA OSNOVNA ŠOLA GENTEROVCI Gonterhazi Ketnyelvu Altalanos Iskola,Tretja oseba,madžarska vlada-emberi erőforrások minisztériuma,priložnostno,neposredno,2935,osebna nestrokovna ocena,protokolarni obisk,"organizacija, v kateri funkcionar opravlja funkcijo",2020-12-14,BILINGUAL PRIMARY SCHOOL GENTEROVCI Gonterhazi Ketnyelvu Altalanos Iskola,Third person,Hungarian government-members of the minisztérium resources,casually,directly
2018-11-17,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"gospod Ye Hao, veleposlanik ljudske republike kitajske v rs",priložnostno,neposredno,2500,osebna nestrokovna ocena,ob novem letu,funkcionar,2018-11-17,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,"Mr. Ye Hao, Ambassador of the People's Republic of China to the RS",casually,directly
2022-01-05,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,DR. KOZMA AHAČIČ,protokolarno,neposredno,2050,osebna nestrokovna ocena,ob novem letu,funkcionar,2022-01-05,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,DR. KOZMA AHAČIČ,protocol,directly
2018-06-10,OBČINA OPLOTNICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,JANŽIČ MAJDA,protokolarno,neposredno,2000,nestrokovna ocena,sestanek na mzz glede dosedanje ter možnosti prihodnjega sodelovanja rs v projektu rehabilitacije otrok iz gaze,država,2018-06-10,OPLOTNICA MUNICIPALITY,state body/local community/holder of public authority,JANŽIČ MAJDA,protocol,directly
2021-09-06,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"DR. NEDŽAD GRABUS, MUFTI V ODHAJANJU IZ REPUBLIKE SLOVENIJE",protokolarno,neposredno,2000,NESTROKOVNO,V OKVIRU REGIJSKEGA OBISKA VLADE NA KOROŠKEM,"organizacija, v kateri funkcionar opravlja funkcijo",2021-09-06,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,"DR. NEDŽAD GRABUS, MUFT IN DEPARTURE FROM THE REPUBLIC OF SLOVENIA",protocol,directly
2022-05-25,GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE,Uradna oseba,KATARSKI ŠEJK,protokolarno,posredno,2000,osebna nestrokovna ocena,ob novem letu,funkcionar,2022-05-25,GENERAL SECRETARIAT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,Official person,THE SHEIKH OF QATAR,protocol,Indirectly
2019-03-19,OKROŽNO SODIŠČE V KRŠKEM,državni organ/lokalna skupnost/nosilec javnih pooblastil,JOŽICA PAVLIN,priložnostno,neposredno,1900,osebna nestrokovna ocena,uradni obisk v republiki kosovo,država,2019-03-19,DISTRICT COURT IN KRŠK,state body/local community/holder of public authority,JOŽICA PAVLIN,casually,directly
2020-11-20,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",Uradna oseba,čzs,priložnostno,neposredno,1700,osebna nestrokovna ocena,sprejem,država,2020-11-20,"MINISTRY OF AGRICULTURE, FORESTRY AND FOOD",Official person,czs,casually,directly
2022-12-16,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"IVO VELIŠEK, BIVŠI DIREKTOR UPRAVE PRAŠKEGA GRADU (URAD PREDSEDNIKA ČEŠKE REPUBLIKE)",protokolarno,neposredno,1589,osebna nestrokovna ocena,uradni obisk v republiki kosovo,država,2022-12-16,MINISTRY OF FOREIGN AFFAIRS,Official person,"IVO VELIŠEK, FORMER DIRECTOR OF PRAGUE CASTLE ADMINISTRATION (OFFICE OF THE PRESIDENT OF THE CZECH REPUBLIC)",protocol,directly
2021-06-08,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,ŠVICARSKI PREDSEDNIK GUY PARMELIN,protokolarno,neposredno,1500,osebna nestrokovna ocena,obisk natovih sil v prištini,država,2021-06-08,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,SWISS PRESIDENT GUY PARMELIN,protocol,directly
2015-11-26,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,veleposlanik lr kitajske v rs g. ye Hao,priložnostno,posredno,1300,preverjena cena na trgu,uradni obisk v republiki kosovo,država,2015-11-26,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,"Ambassador of the People's Republic of China to the Russian Federation, Mr. yes Hao",casually,Indirectly
2016-12-15,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Al-Muzajen, pomočnik zunanjega ministra Države Kuvajt",protokolarno,neposredno,1300,osenba nestrokovna ocena,uradni obisk v republiki kosovo,država,2016-12-15,MINISTRY OF FOREIGN AFFAIRS,functionary,"Al-Muzajen, Assistant Foreign Minister of the State of Kuwait",protocol,directly
2015-03-26,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"KNJIGARNA MOHORJEVA HERMAGORAS, CELOVEC",priložnostno,posredno,1106,osebna nestrokovna ocena,uradni obisk v republiki avstriji,država,2015-03-26,BILINGUAL PRIMARY SCHOOL I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS SCHOOL,state body/local community/holder of public authority,"MOHORJEVA HERMAGORAS BOOKSTORE, CELOVEC",casually,Indirectly
2017-09-20,DVOJEZIČNA OSNOVNA ŠOLA GENTEROVCI Gonterhazi Ketnyelvu Altalanos Iskola,državni organ/lokalna skupnost/nosilec javnih pooblastil,pomurska madžarska samoupravna narodna skupnost,priložnostno,neposredno,1032,na podlagi podatka darovalca,50. letnica gimnazije ljutomer,država,2017-09-20,BILINGUAL PRIMARY SCHOOL GENTEROVCI Gonterhazi Ketnyelvu Altalanos Iskola,state body/local community/holder of public authority,Pomeranian Hungarian self-governing national community,casually,directly
2014-03-03,MESTNA OBČINA VELENJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"občina vranje, srbija",protokolarno,neposredno,1000,/,uradni obisk francoskega predsednika v rs,država,2014-03-03,MUNICIPALITY OF VELENJE,state body/local community/holder of public authority,"Municipality of Vranje, Serbia",protocol,directly
2015-03-30,OBČINA ŽIROVNICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"elEKTRO GORENJSKA, D.D., uL. mIRKA VADNOVA 3a, 4000 kranj",priložnostno,neposredno,1000,osebna nestrokovna ocena,delovni obisk v kneževini monako,država,2015-03-30,MUNICIPALITY OF ŽIROVNICA,state body/local community/holder of public authority,"ELEKTRO GORENJSKA, D.D., uL. MIRKA VADNOVA 3a, 4000 Kranj",casually,directly
2021-09-16,MESTNA OBČINA NOVO MESTO,Uradna oseba,"Stevan Katić, predsednik Občine Herceg Novi, Trg Maršala Tita 2, 85340 Herceg Novi",protokolarno,neposredno,1000,osebna nestrokovna ocena,"udeležba na prireditvi ""ruska kapelica""",država,2021-09-16,CITY MUNICIPALITY NOVI MESO,Official person,"Stevan Katic, President of the Municipality of Herceg Novi, Trg Maršala Tita 2, 85340 Herceg Novi",protocol,directly
2022-03-22,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Al Thani,protokolarno,posredno,1000,nestrokovn ocena,uradni obisk predsednika evropskega parlamenta v rs,država,2022-03-22,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,Emir of the State of Qatar Tamim Bin Hamad Al Thani,protocol,Indirectly
2022-03-23,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,NJEGOVA VISOKOST EMIR DRŽAVE KATAR ŠEJK TAMIM BIN HAMADA AL-THANIA,protokolarno,neposredno,1000,osebna nestrokovna ocena,sprejem,država,2022-03-23,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,HIS HIGHNESS THE EMIR OF THE STATE OF QATAR SHEIKH TAMIM BIN HAMAD AL-THANIA,protocol,directly
2018-11-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"nj. eksc. gospod ye hao, veleposlanik ljudske republike kitajske v rs",priložnostno,neposredno,1000,STROKOVNA OCENA,MESTNA OBČINA NOVO MESTO JE PREDSTAVNIKA ORGANIZACIJE C.I.V.I.A. SAN MARINO GOSTILA NA 2. MEDNARODNI KONFERENCI MEST OB JANTARNI POTI,lokalna skupnost,2018-11-21,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,"her exc. Mr. Ye Hao, Ambassador of the People's Republic of China to Russia",casually,directly
2021-06-09,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,Uradna oseba,"dr. guy parmelin, predsednik švicarske konfederacije",protokolarno,neposredno,950,CENA OBJAVLJENA NA SPLETU,URADNI OBISK V BEOGRADU,Subjekta javnega sektorja (delodajalca),2021-06-09,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,Official person,"dr. Guy Parmelin, President of the Swiss Confederation",protocol,directly
2014-08-13,OBČINA GORJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,ELEKTRO GORENJSKA D.D.,priložnostno,neposredno,900,osebna nestrokovna ocena,obisk delegacije,Subjekta javnega sektorja (delodajalca),2014-08-13,GORJE MUNICIPALITY,state body/local community/holder of public authority,ELEKTRO GORENJSKA D.D.,casually,directly
2015-01-28,OBČINA BLED,državni organ/lokalna skupnost/nosilec javnih pooblastil,ELEKTRO GORENJSKA D.D.,priložnostno,neposredno,900,cena navedena na knjigi,obisk v novoletnem času,Subjekta javnega sektorja (delodajalca),2015-01-28,MUNICIPALITY OF BLED,state body/local community/holder of public authority,ELEKTRO GORENJSKA D.D.,casually,directly
2015-03-19,OBČINA TRŽIČ,funkcionar,ELEKTRO GORENJSKAD.D.,priložnostno,neposredno,900,OSEBNA NESTROKOVNA OCENA,DARILO OB PREDSTAVITVENEM SREČANJU,Subjekta javnega sektorja (delodajalca),2015-03-19,TRŽIČ MUNICIPALITY,functionary,ELEKTRO GORENJSKAD.D.,casually,directly
2015-03-27,OBČINA BOHINJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,elektro gorenjska,priložnostno,neposredno,900,tržna vrednost,novoletni prazniki,Prejemnika,2015-03-27,MUNICIPALITY OF BOHINJ,state body/local community/holder of public authority,Elektro Gorenjska,casually,directly
2015-04-03,OBČINA TRŽIČ,funkcionar,ELEKTRO GORENJSKA D.D.,priložnostno,neposredno,900,OSEBNA NESTROKOVNA OCENA,SPREJEM V PREDSEDNIŠKI PALAČI,Subjekta javnega sektorja (delodajalca),2015-04-03,TRŽIČ MUNICIPALITY,functionary,ELEKTRO GORENJSKA D.D.,casually,directly
2015-10-22,UNIVERZA NA PRIMORSKEM UNIVERSITA DEL LITORALE,državni organ/lokalna skupnost/nosilec javnih pooblastil,UNIONE ITALIANA,protokolarno,neposredno,900,tržna vrednost,novoletni prazniki,Prejemnika,2015-10-22,UNIVERSITY OF PRIMORSK UNIVERSITA DEL LITORALE,state body/local community/holder of public authority,UNIONE ITALIANA,protocol,directly
2015-03-26,OBČINA CERKLJE NA GORENJSKEM,državni organ/lokalna skupnost/nosilec javnih pooblastil,elektro gorenjska d.d.,priložnostno,neposredno,899,LASTNA PRESOJA,SPREJEM,Subjekta javnega sektorja (delodajalca),2015-03-26,THE MUNICIPALITY OF CERKLJE NA GORENJE,state body/local community/holder of public authority,elektro gorenjska d.d.,casually,directly
2015-05-14,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik Turkmenistana gospod Gurbanguly Malikguyevich Berdimuhamedov,protokolarno,posredno,800,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca),2015-05-14,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,President of Turkmenistan Mr. Gurbanguly Malikguyevich Berdimuhamedov,protocol,Indirectly
2017-11-24,OBČINA LENART,državni organ/lokalna skupnost/nosilec javnih pooblastil,MARTINA GOLIJA,priložnostno,neposredno,800,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca),2017-11-24,MUNICIPALITY OF LENART,state body/local community/holder of public authority,MARTINA GOLIJA,casually,directly
2021-12-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,VELEPOSLANIK RUSIJE V RS Timur Rafailovič Ejvazov,priložnostno,posredno,800,OCENA GENERALNEGA DIREKTORJA,študijskI obisk s strani turških predstavnikov plačilne agencije,Subjekta javnega sektorja (delodajalca),2021-12-16,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,RUSSIAN AMBASSADOR TO RS Timur Rafailovič Ejvazov,casually,Indirectly
2022-03-22,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Al Thani,protokolarno,neposredno,800,osebna ocena,sestanek,Prejemnika,2022-03-22,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,Emir of the State of Qatar Tamim Bin Hamad Al Thani,protocol,directly
2017-12-25,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,DRAGICA PETROVIČ,protokolarno,neposredno,750,OSEBNA NESTROKOVNA OCENA,"URADNI OBISK MZZ KATARJA V SLOVENIJI, 04.11.2021",Subjekta javnega sektorja (delodajalca),2017-12-25,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,functionary,DRAGICA PETROVIĆ,protocol,directly
2022-02-10,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"Mohamed Al Džadan, minister za gospodarstvo in načrtovanje Kraljevine Saudove Arabije",protokolarno,neposredno,705,laično s pomočjo spleta,srečanje in podpis skupne izjave predsednikov vri-ravnanje v primeru nenadnega onesnaženja jadrana,Subjekta javnega sektorja (delodajalca),2022-02-10,MINISTRY OF FOREIGN AFFAIRS,Official person,"Mohamed Al Jadan, Minister of Economy and Planning of the Kingdom of Saudi Arabia",protocol,directly
2015-03-27,OBČINA IVANČNA GORICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,ksenija hauptman,protokolarno,neposredno,700,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca),2015-03-27,THE MUNICIPALITY OF IVANČNA GORICA,state body/local community/holder of public authority,Ksenia Hauptman,protocol,directly
2016-10-29,VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednica vrhovnega sodišča črne gore,protokolarno,neposredno,700,"ceno je določila strokovnjakinja za ocenjevanje vrednosti umetniških del, kustosinja umetnostna zgodovinarka dolenjskega muzeja novo mesto.",50. obletnica partnerstva mestne občine novo mesto in občine herceg novi,Subjekta javnega sektorja (delodajalca),2016-10-29,SUPREME COURT OF THE REPUBLIC OF SLOVENIA,functionary,President of the Supreme Court of Montenegro,protocol,directly
2019-04-11,MESTNA OBČINA LJUBLJANA,funkcionar,oskar kogoj,protokolarno,neposredno,700,OSEBNA NESTROKOVNA OCENA,DELOVNI OBISK V NEW YORKU,Subjekta javnega sektorja (delodajalca),2019-04-11,MUNICIPALITY OF LJUBLJANA,functionary,oskar kogoj,protocol,directly
2022-02-10,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"PRINC FAISAL BIN FARHAN BIN ABDULLAH AL SAUD, MINISTER ZA ZUNANJE ZADEVE KRALJEVINE SAUDOVEARABIJE",protokolarno,neposredno,700,OSEBNA NESTROKOVNA OCENA,DELOVNI OBISK V NEW YORKU,Prejemnika,2022-02-10,MINISTRY OF FOREIGN AFFAIRS,Official person,"PRINCE FAISAL BIN FARHAN BIN ABDULLAH AL SAUD, MINISTER OF FOREIGN AFFAIRS OF THE KINGDOM OF SAUDI ARABIA",protocol,directly
2022-01-12,VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,Uradna oseba,GENERALNI TOŽILEC RUSKE FEDERACIJE IGOR KRASNOV,protokolarno,neposredno,690,PRIMERJAVA VREDNOSTI NA SPLETNI STRANI,SLUŽBENI OBISK,Subjekta javnega sektorja (delodajalca),2022-01-12,SUPREME STATE PROSECUTOR'S OFFICE OF THE REPUBLIC OF SLOVENIA,Official person,GENERAL PROSECUTOR OF THE RUSSIAN FEDERATION IGOR KRASNOV,protocol,directly
2020-09-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,nj. eksc. predsednik vlade republike poljske gospod Mateusz Morawiecki,priložnostno,posredno,655,osebna nestrokovna ocena,"delovni obisk mzz logarja na malti, 05.02.2021",Subjekta javnega sektorja (delodajalca),2020-09-21,CABINET OF THE PRESIDENT OF THE GOVERNMENT OF THE REPUBLIC OF SLOVENIA,functionary,"her exc. Prime Minister of the Republic of Poland, Mr. Mateusz Morawiecki",casually,Indirectly
2022-04-07,DRŽAVNA REVIZIJSKA KOMISIJA ZA REVIZIJO POSTOPKOV ODDDAJE JAVNIH NAROČIL,Uradna oseba,Agencija za management,priložnostno,neposredno,624,tržna vrednost,novoletni prazniki,Prejemnika,2022-04-07,STATE AUDIT COMMISSION FOR THE AUDIT OF PUBLIC PROCUREMENT PROCEDURES,Official person,Management Agency,casually,directly
2015-03-24,"Eko sklad, Slovenski okoljski javni sklad",državni organ/lokalna skupnost/nosilec javnih pooblastil,daikin Hrvatska d.o.o.,priložnostno,posredno,624,primerjava vrednosti na spletni strani,božično - novoletni prazniki,Subjekta javnega sektorja (delodajalca),2015-03-24,"Eco Fund, Slovenian Environmental Public Fund",state body/local community/holder of public authority,daikin Hrvatska d.o.o.,casually,Indirectly
2015-05-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK TURKMENISTANA GURBANGULY BERDIMUHAMMEDOW,protokolarno,neposredno,600,PRIMERJAVA VREDNOSTI NA SPLETNI STRANI,BOŽIČNO - NOVOLETNI PRAZNIKI,Subjekta javnega sektorja (delodajalca),2015-05-13,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,functionary,PRESIDENT OF TURKMENISTAN GURBANGULY BERDIMUHAMMEDOW,protocol,directly
2016-04-28,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"veleposlanik kitajske, ye hao",protokolarno,neposredno,600,LAIČNA,VLJUDNOSTNO SREČANJE,Subjekta javnega sektorja (delodajalca),2016-04-28,MINISTRY OF FOREIGN AFFAIRS,functionary,"ambassador of china, ye hao",protocol,directly
2019-09-15,OBČINA LENDAVA - LENDVA KÖZSEG,funkcionar,"Mesna zajednica ""Bukovac"" i akud milica stojadinović srpkinja iz bukovca",priložnostno,neposredno,600,na podlagi pregleda spletnih ponudb in objavljenih cen,ob ameriškem prazniku,Prejemnika,2019-09-15,LENDAVA MUNICIPALITY - LENDVA KÖZSEG,functionary,"Mesna zajednica ""Bukovac"" and also Militia Stojadinović, a Serbian woman from Bukovac",casually,directly
